# original_frequency, f1, precision, recall
9.044999999999999221e-03,1.459853947162628174e-01,2.564102709293365479e-01,1.020408198237419128e-01
2.267500000000000071e-02,2.032085657119750977e-01,2.773722708225250244e-01,1.603375524282455444e-01
4.416500000000000287e-02,4.999999403953552246e-01,4.792899489402770996e-01,5.225806236267089844e-01
8.484999999999999487e-03,3.739837706089019775e-01,3.194444477558135986e-01,4.509803950786590576e-01
9.409999999999999962e-03,4.939759075641632080e-01,6.029411554336547852e-01,4.183673560619354248e-01
4.759000000000000036e-02,5.680933594703674316e-01,5.680933594703674316e-01,5.680933594703674316e-01
1.527000000000000059e-02,5.287356972694396973e-01,4.670050740242004395e-01,6.092715263366699219e-01
5.584999999999999687e-03,2.285714298486709595e-01,5.333333611488342285e-01,1.454545408487319946e-01
1.000000000000000048e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.105000000000000183e-03,3.541666567325592041e-01,4.594594538211822510e-01,2.881355881690979004e-01
4.411500000000000143e-02,2.843488752841949463e-01,2.989949882030487061e-01,2.710706293582916260e-01
5.527499999999999775e-02,3.541284501552581787e-01,3.806706070899963379e-01,3.310463130474090576e-01
1.969999999999999963e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.445000000000000104e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.389999999999999888e-03,4.623115658760070801e-01,4.181818068027496338e-01,5.168539285659790039e-01
6.364999999999999998e-03,2.727272808551788330e-01,5.217391252517700195e-01,1.846153885126113892e-01
3.449999999999999833e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000196e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.800000000000000313e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.299999999999999886e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.203499999999999903e-02,1.072796881198883057e-01,2.592592537403106689e-01,6.763284653425216675e-02
2.170000000000000054e-02,4.398340284824371338e-01,3.940520584583282471e-01,4.976525902748107910e-01
5.024999999999999953e-03,4.181818068027496338e-01,3.770491778850555420e-01,4.693877696990966797e-01
1.106000000000000039e-02,8.510638028383255005e-02,3.750000000000000000e-01,4.800000041723251343e-02
1.115000000000000106e-03,1.111111119389533997e-01,2.000000029802322388e-01,7.692307978868484497e-02
4.062999999999999945e-02,5.956112742424011230e-01,5.632411241531372070e-01,6.319290399551391602e-01
6.270000000000000399e-03,4.473684430122375488e-01,3.695652186870574951e-01,5.666666626930236816e-01
3.555000000000000000e-03,5.714285373687744141e-01,5.263158082962036133e-01,6.250000000000000000e-01
4.150000000000000043e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.813999999999999987e-02,5.031055808067321777e-01,5.126582384109497070e-01,4.939024448394775391e-01
3.884999999999999998e-03,5.531915426254272461e-01,5.098039507865905762e-01,6.046511530876159668e-01
3.485499999999999710e-02,4.926253557205200195e-01,4.940828382968902588e-01,4.911764562129974365e-01
8.969000000000000583e-02,6.720565557479858398e-01,6.197577118873596191e-01,7.339955568313598633e-01
1.991499999999999868e-02,6.446700096130371094e-01,6.546391844749450684e-01,6.349999904632568359e-01
